0	1	2	3	4
carbon transformation	sustainable development	carbon dioxide emissions	health care delivery	risk analysis
technological innovation	supply chain	energy policy	health care	safety factor
prefabricated construction	food security	power generation	epidemiology	coupling risk
energy consumption	climate change	renewable energy	prevalence	
passenger vehicles	economic development	greenhouse gas emissions	prevention and control	
carbon	water resource	coal mining	cost control	
construction industry	economic growth	greenhouse gasses	vaccination	
subsidy	population growth	battery management systems	health education	
green transformation	coordinated development	renewable	landfill	
energy vehicle	arid regions	carbon dioxide	coronavirus disease 2019	
carbon reduction	agriculture	coal		
market dynamics	population dynamics	photovoltaic		
emission reduction	harvest area	solar energy		
robustness	agricultural products			
zero-carbon	sustainable development goals			
global warming potential				
